cycle_year,state,school,applications,in state applicants,out of state applicants,women applicants,men applicants,matriculants,in state matriculants,out of state matriculants,women matriculants,men matriculants
2012,AL,Alabama,2599,15.4,84.6,41.9,58.1,176.0,86.4,13.6,39.8,60.2
2012,AL,South Alabama,1309,27.3,72.7,41.6,58.4,74.0,90.5,9.5,37.8,62.2
2012,AR,Arkansas,2148,14.8,85.2,38.9,61.1,166.0,86.7,13.3,36.7,63.3
2012,AZ,Arizona,5809,23.8,76.2,43.2,56.8,195.0,72.3,27.7,50.8,49.2
2012,CA,Loma Linda,5217,41.4,58.6,45.0,55.0,168.0,44.6,55.4,45.2,54.8
2012,CA,Southern Cal-Keck,7335,50.8,49.2,44.8,55.1,184.0,73.9,26.1,45.7,54.3
2012,CA,Stanford,6810,36.7,63.3,41.8,58.2,92.0,39.1,60.9,55.4,44.6
2012,CA,UC Davis,5224,74.2,25.8,47.6,52.4,109.0,100.0,0.0,55.0,45.0
2012,CA,UC Irvine,5380,76.9,23.1,45.8,54.2,104.0,88.5,11.5,52.9,47.1
2012,CA,UC San Diego,5959,63.7,36.3,44.4,55.5,125.0,72.0,28.0,50.4,49.6
2012,CA,UC San Francisco,6983,48.8,51.2,45.8,54.1,165.0,80.0,20.0,49.7,50.3
2012,CA,UCLA Drew,1605,68.7,31.3,51.5,48.5,24.0,87.5,12.5,33.3,66.7
2012,CA,UCLA-Geffen,7730,60.1,39.9,45.8,54.2,163.0,92.0,8.0,46.6,53.4
2012,CO,Colorado,5425,12.5,87.5,43.2,56.7,157.0,57.3,42.7,48.4,51.6
2012,CT,Connecticut,2683,17.4,82.6,47.9,52.1,90.0,83.3,16.7,47.8,52.2
2012,CT,Yale,4849,4.4,95.6,42.9,57.1,100.0,9.0,91.0,45.0,55.0
2012,DC,George Washington,14509,0.4,99.6,48.2,51.8,177.0,1.7,98.3,55.4,44.6
2012,DC,Georgetown,11733,0.4,99.6,46.0,54.0,196.0,2.0,98.0,52.6,47.4
2012,DC,Howard,6749,0.6,99.4,53.7,46.3,112.0,5.4,94.6,45.5,54.5
2012,FL,UCF,3472,52.7,47.3,46.8,53.2,100.0,75.0,25.0,46.0,54.0
2012,FL,FIU-Wertheim,3524,48.5,51.5,47.8,52.2,120.0,84.2,15.8,50.0,50.0
2012,FL,Florida,2920,62.4,37.6,43.8,56.2,132.0,89.4,10.6,43.9,56.1
2012,FL,Florida Atlantic-Schmidt,2919,57.4,42.6,46.0,54.0,63.0,81.0,19.0,58.7,41.3
2012,FL,Florida State,4011,49.8,50.2,47.9,52.1,120.0,99.2,0.8,45.8,54.2
2012,FL,Miami-Miller,6074,29.8,70.2,43.2,56.8,196.0,57.1,42.9,48.5,51.5
2012,FL,USF-Morsani,3407,58.2,41.8,46.5,53.5,163.0,78.5,21.5,43.6,56.4
2012,GA,Emory,6608,9.0,91.0,46.7,53.3,135.0,31.1,68.9,48.9,51.1
2012,GA,MC Georgia Augusta,2323,43.0,57.0,46.7,53.3,230.0,96.5,3.5,37.8,62.2
2012,GA,Mercer,862,99.9,0.1,45.9,54.1,99.0,100.0,0.0,41.4,58.6
2012,GA,Morehouse,4385,10.4,89.6,55.0,45.0,64.0,70.3,29.7,45.3,54.7
2012,HI,Hawaii-Burns,1618,10.6,89.4,43.3,56.7,66.0,77.3,22.7,60.6,39.4
2012,IA,Iowa-Carver,3489,9.5,90.5,40.8,59.2,152.0,63.8,36.2,42.1,57.9
2012,IL,Chicago Med Franklin,10046,13.1,86.9,46.4,53.6,190.0,47.9,52.1,50.0,50.0
2012,IL,Chicago-Pritzker,5183,13.8,86.2,42.6,57.4,88.0,17.0,83.0,48.9,51.1
2012,IL,Illinois,7365,23.1,76.9,44.9,55.1,315.0,73.0,27.0,43.5,56.5
2012,IL,Loyola-Stritch,9625,15.3,84.7,46.0,53.9,157.0,43.9,56.1,40.1,59.9
2012,IL,Northwestern-Feinberg,6910,13.1,86.9,43.4,56.6,161.0,19.9,80.1,40.4,59.6
2012,IL,Rush,7736,18.7,81.3,46.8,53.2,128.0,57.0,43.0,45.3,54.7
2012,IL,Southern Illinois,1154,96.1,3.9,45.0,55.0,72.0,100.0,0.0,48.6,51.4
2012,IN,Indiana,3950,17.6,82.4,41.6,58.4,335.0,80.6,19.4,46.6,53.4
2012,KS,Kansas,2596,17.5,82.5,41.9,58.1,211.0,85.8,14.2,41.7,58.3
2012,KY,Kentucky,2270,18.9,81.1,39.1,60.9,118.0,69.5,30.5,40.7,59.3
