cycle_year,applicants,applications,in state applicants,out of state applicants,women applicants,men applicants,matriculants,in state matriculants,out of state matriculants,women matriculants,men matriculants,applications per applicant,matriculant applicant percent
2012,45266,636309,23.7,76.3,45.1,54.9,19517,61.2,38.8,46.4,53.6,14.057106879335484,43.11624618919277
2013,48014,690281,23.7,76.3,45.7,54.3,20055,62.0,38.0,47.2,52.8,14.376660973882618,41.769067355354686
2014,49480,731595,23.6,76.4,45.9,54.1,20343,61.3,38.7,47.8,52.2,14.785670978173,41.113581244947454
2015,52550,781602,23.2,76.8,45.8,54.2,20631,60.3,39.7,47.8,52.2,14.87349191246432,39.25975261655566
2016,53042,830016,23.4,76.6,47.6,52.4,21030,60.6,39.4,49.8,50.2,15.648278722521775,39.64782625089552
2017,51680,816153,23.3,76.7,48.8,51.2,21338,60.7,39.3,50.7,49.3,15.792434210526316,41.288699690402474
2018,52777,849678,22.7,77.3,49.7,50.3,21622,60.6,39.4,51.6,48.3,16.09939935956951,40.9686037478447
2019,53371,896819,22.4,77.6,51.1,48.8,21869,60.6,39.4,52.4,47.6,16.803488786044856,40.97543609825561
2020,53030,906588,22.9,77.1,51.9,48.0,22239,60.3,39.7,53.6,46.2,17.095757118612106,41.936639637940786
2021,62443,1099486,22.7,77.3,55.0,44.9,22666,60.2,39.8,55.5,44.4,17.60783434492257,36.29870441842961
