cycle_year,state,school,applications,in state applicants,out of state applicants,women applicants,men applicants,matriculants,in state matriculants,out of state matriculants,women matriculants,men matriculants
2012,AL,Alabama,280.0,2.9,97.1,35.7,64.3,8.0,12.5,87.5,37.5,62.5
2012,AL,South Alabama,10.0,30.0,70.0,40.0,60.0,0.0,0.0,0.0,0.0,0.0
2012,AR,Arkansas,28.0,17.9,82.1,39.3,60.7,2.0,50.0,50.0,0.0,100.0
2012,AZ,Arizona,83.0,16.9,83.1,37.3,62.7,2.0,100.0,0.0,50.0,50.0
2012,CA,Loma Linda,67.0,46.3,53.7,47.8,52.2,3.0,66.7,33.3,0.0,100.0
2012,CA,Southern Cal-Keck,251.0,47.0,53.0,36.3,63.7,5.0,60.0,40.0,20.0,80.0
2012,CA,Stanford,613.0,25.0,75.0,33.1,66.9,9.0,22.2,77.8,44.4,55.6
2012,CA,UC Davis,24.0,45.8,54.2,20.8,79.2,0.0,0.0,0.0,0.0,0.0
2012,CA,UC Irvine,264.0,52.3,47.7,33.0,67.0,5.0,40.0,60.0,60.0,40.0
2012,CA,UC San Diego,456.0,34.9,65.1,35.1,64.9,9.0,33.3,66.7,44.4,55.6
2012,CA,UC San Francisco,563.0,27.9,72.1,36.4,63.6,10.0,30.0,70.0,70.0,30.0
2012,CA,UCLA Drew,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012,CA,UCLA-Geffen,442.0,34.2,65.8,33.5,66.5,9.0,55.6,44.4,44.4,55.6
2012,CO,Colorado,328.0,6.4,93.6,35.7,64.3,8.0,25.0,75.0,50.0,50.0
2012,CT,Connecticut,141.0,12.1,87.9,42.6,57.4,5.0,40.0,60.0,20.0,80.0
2012,CT,Yale,516.0,2.7,97.3,32.9,67.1,17.0,17.6,82.4,52.9,47.1
2012,DC,George Washington,110.0,0.0,100.0,43.6,56.4,0.0,0.0,0.0,0.0,0.0
2012,DC,Georgetown,184.0,0.5,99.5,42.9,57.1,0.0,0.0,0.0,0.0,0.0
2012,DC,Howard,86.0,1.2,98.8,60.5,39.5,0.0,0.0,0.0,0.0,0.0
2012,FL,UCF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012,FL,FIU-Wertheim,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012,FL,Florida,105.0,45.7,54.3,33.3,66.7,4.0,50.0,50.0,50.0,50.0
2012,FL,Florida Atlantic-Schmidt,34.0,44.1,55.9,41.2,58.8,0.0,0.0,0.0,0.0,0.0
2012,FL,Florida State,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012,FL,Miami-Miller,167.0,28.1,71.9,35.9,64.1,5.0,40.0,60.0,20.0,80.0
2012,FL,USF-Morsani,29.0,51.7,48.3,34.5,65.5,1.0,0.0,100.0,100.0,0.0
2012,GA,Emory,454.0,6.4,93.6,36.3,63.7,10.0,30.0,70.0,40.0,60.0
2012,GA,MC Georgia Augusta,62.0,33.9,66.1,43.5,56.5,3.0,100.0,0.0,100.0,0.0
2012,GA,Mercer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012,GA,Morehouse,39.0,12.8,87.2,61.5,38.5,0.0,0.0,0.0,0.0,0.0
2012,HI,Hawaii-Burns,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012,IA,Iowa-Carver,199.0,7.0,93.0,34.2,65.8,13.0,0.0,100.0,53.8,46.2
2012,IL,Chicago Med Franklin,120.0,16.7,83.3,45.8,54.2,0.0,0.0,0.0,0.0,0.0
2012,IL,Chicago-Pritzker,453.0,9.3,90.7,36.2,63.8,11.0,18.2,81.8,36.4,63.6
2012,IL,Illinois,412.0,13.6,86.4,37.6,62.4,24.0,20.8,79.2,25.0,75.0
2012,IL,Loyola-Stritch,141.0,19.1,80.9,41.1,58.9,2.0,50.0,50.0,50.0,50.0
2012,IL,Northwestern-Feinberg,532.0,8.5,91.5,35.9,64.1,13.0,0.0,100.0,38.5,61.5
2012,IL,Rush,62.0,25.8,74.2,45.2,54.8,0.0,0.0,0.0,0.0,0.0
2012,IL,Southern Illinois,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012,IN,Indiana,161.0,13.0,87.0,34.8,65.2,7.0,0.0,100.0,42.9,57.1
2012,KS,Kansas,68.0,16.2,83.8,33.8,66.2,5.0,0.0,100.0,40.0,60.0
2012,KY,Kentucky,68.0,11.8,88.2,41.2,58.8,4.0,0.0,100.0,25.0,75.0
2012,KY,Louisville,45.0,17.8,82.2,35.6,64.4,2.0,50.0,50.0,0.0,100.0
2012,LA,LSU New Orleans,45.0,33.3,66.7,53.3,46.7,4.0,25.0,75.0,25.0,75.0
2012,LA,LSU Shreveport,16.0,43.8,56.3,56.3,43.8,0.0,0.0,0.0,0.0,0.0
2012,LA,Tulane,105.0,9.5,90.5,40.0,60.0,0.0,0.0,0.0,0.0,0.0
2012,MA,Boston,356.0,13.2,86.8,37.9,62.1,8.0,12.5,87.5,25.0,75.0
2012,MA,Harvard,680.0,8.2,91.8,34.0,66.0,11.0,45.5,54.5,18.2,81.8
2012,MA,Massachusetts,201.0,23.9,76.1,41.3,58.7,12.0,75.0,25.0,41.7,58.3
