Cycle,Year,Medical School Name,Short Name,Cost Type,Ownership Type,Residence Status,Health Insurance Required ,Health Insurance Waived,Reported Cost
1995-96,1995,Albany Medical College,Albany,Fees,Private,Nonresident,,,0.0
1995-96,1995,Albany Medical College,Albany,Fees,Private,Resident,,,0.0
1995-96,1995,Albany Medical College,Albany,Tuition,Private,Nonresident,,,25346.0
1995-96,1995,Albany Medical College,Albany,Tuition,Private,Resident,,,24074.0
1995-96,1995,Albany Medical College,Albany,Tuition and Fees,Private,Nonresident,,,25346.0
1995-96,1995,Albany Medical College,Albany,Tuition and Fees,Private,Resident,,,24074.0
1995-96,1995,Albert Einstein College of Medicine,Einstein,Fees,Private,Nonresident,,,1200.0
1995-96,1995,Albert Einstein College of Medicine,Einstein,Fees,Private,Resident,,,1200.0
1995-96,1995,Albert Einstein College of Medicine,Einstein,Tuition,Private,Nonresident,,,24500.0
1995-96,1995,Albert Einstein College of Medicine,Einstein,Tuition,Private,Resident,,,24550.0
1995-96,1995,Albert Einstein College of Medicine,Einstein,Tuition and Fees,Private,Nonresident,,,25750.0
1995-96,1995,Albert Einstein College of Medicine,Einstein,Tuition and Fees,Private,Resident,,,25750.0
1995-96,1995,Baylor College of Medicine,Baylor,Fees,Private,Nonresident,,,2504.0
1995-96,1995,Baylor College of Medicine,Baylor,Fees,Private,Resident,,,2329.0
1995-96,1995,Baylor College of Medicine,Baylor,Tuition,Private,Nonresident,,,19650.0
1995-96,1995,Baylor College of Medicine,Baylor,Tuition,Private,Resident,,,6550.0
1995-96,1995,Baylor College of Medicine,Baylor,Tuition and Fees,Private,Nonresident,,,22154.0
1995-96,1995,Baylor College of Medicine,Baylor,Tuition and Fees,Private,Resident,,,8879.0
1995-96,1995,Boston University School of Medicine,Boston,Fees,Private,Nonresident,,,375.0
1995-96,1995,Boston University School of Medicine,Boston,Fees,Private,Resident,,,375.0
1995-96,1995,Boston University School of Medicine,Boston,Tuition,Private,Nonresident,,,30300.0
1995-96,1995,Boston University School of Medicine,Boston,Tuition,Private,Resident,,,30300.0
1995-96,1995,Boston University School of Medicine,Boston,Tuition and Fees,Private,Nonresident,,,30675.0
1995-96,1995,Boston University School of Medicine,Boston,Tuition and Fees,Private,Resident,,,30675.0
1995-96,1995,Brody School of Medicine at East Carolina University,East Carolina-Brody,Fees,Public,Nonresident,,,833.0
1995-96,1995,Brody School of Medicine at East Carolina University,East Carolina-Brody,Fees,Public,Resident,,,833.0
1995-96,1995,Brody School of Medicine at East Carolina University,East Carolina-Brody,Tuition,Public,Nonresident,,,20466.0
1995-96,1995,Brody School of Medicine at East Carolina University,East Carolina-Brody,Tuition,Public,Resident,,,1952.0
1995-96,1995,Brody School of Medicine at East Carolina University,East Carolina-Brody,Tuition and Fees,Public,Nonresident,,,21299.0
1995-96,1995,Brody School of Medicine at East Carolina University,East Carolina-Brody,Tuition and Fees,Public,Resident,,,2785.0
1995-96,1995,Case Western Reserve University School of Medicine,Case Western Reserve,Fees,Private,Nonresident,,,595.0
1995-96,1995,Case Western Reserve University School of Medicine,Case Western Reserve,Fees,Private,Resident,,,595.0
1995-96,1995,Case Western Reserve University School of Medicine,Case Western Reserve,Tuition,Private,Nonresident,,,23100.0
1995-96,1995,Case Western Reserve University School of Medicine,Case Western Reserve,Tuition,Private,Resident,,,23100.0
