----------------------------------------------------------------------------------------------------------------
Search Criteria:,
"     Fiscal Year: Active Projects,  2022,  2021,  2020,  2019,  2018,  2017,  2016,  2015,  2014,  2013,  2012,  2011,  2010,  2009,  2008,  2007,  2006,  2005,  2004,  2003,  2002,  2001,  2000,  1999,  1998,  1997,  1996,  1995,  1994,  1993,  1992,  1991,  1990,  1989,  1988,  1987,  1986,  1985"
"     Text Search: "Medical Scientist",  "MSTP" (or)"
"     Limit to: Project Title"
----------------------------------------------------------------------------------------------------------------
"NIH Spending Categorization","Project Terms","Project Title","Public Health Relevance","Administering IC","Application ID","Award Notice Date","FOA","Project Number","Type","Activity","IC","Serial Number","Support Year","Suffix","Program Official Information","Project Start Date","Project End Date","Study Section","Subproject Number","Contact PI Person ID","Contact PI / Project Leader","Other PI or Project Leader(s)","Congressional District","Department","Primary DUNS","Primary UEI","DUNS Number","UEI","FIPS","Latitude","Longitude","Organization ID (IPF)","Organization Name","Organization City","Organization State","Organization Type","Organization Zip","Organization Country","ARRA Indicator","Budget Start Date","Budget End Date","CFDA Code","Funding Mechanism","Fiscal Year","Total Cost","Total Cost (Sub Projects)","Funding IC(s)","Direct Cost IC","InDirect Cost IC","NIH COVID-19 Response","Total Cost IC",
"No NIH Category available","Medical;Scientist;South Texas;Training Programs","South Texas Medical Scientist Training Program (STX-MSTP)","Project Narrative:
The South Texas MSTP trains the next generation of well-rounded physician scientists in an
interdisciplinary training environment with translational science and health disparities
components. A special focus is on the health needs of a growing Hispanic and impoverished
patient population in the US, as well as Veterans, populations with high prevalence in South
Texas.","NIGMS","10158492","5/24/2021 12:00:00 AM","PA-16-152","5T32GM113896-04","5","T32","GM","113896","04"," ","KEANE-MYERS, ANDREA","7/1/2018 12:00:00 AM","6/30/2023 12:00:00 AM","Training and Workforce Development Study Section - A[TWD-A]"," ","2281646","CAVAZOS, JOSE E","Not Applicable","21","NEUROLOGY","800772162","C3KXNLTAAY98","800772162","C3KXNLTAAY98","US","29.513082","-98.577731","578418","UNIVERSITY OF TEXAS HLTH SCIENCE CENTER","SAN ANTONIO","TX","SCHOOLS OF MEDICINE","782293901","UNITED STATES","N","7/1/2021 12:00:00 AM","6/30/2022 12:00:00 AM","859","Training, Institutional","2021"," "," ","NIGMS","214580","12134"," ","226714",
"No NIH Category available","Medical;Scientist;South Texas;Training Programs","South Texas Medical Scientist Training Program (STX-MSTP)","Project Narrative:
The South Texas MSTP trains the next generation of well-rounded physician scientists in an
interdisciplinary training environment with translational science and health disparities
components. A special focus is on the health needs of a growing Hispanic and impoverished
patient population in the US, as well as Veterans, populations with high prevalence in South
Texas.","NIGMS","10377635","6/28/2021 12:00:00 AM","PA-16-152","3T32GM113896-04S1","3","T32","GM","113896","04","S","KEANE-MYERS, ANDREA","7/1/2018 12:00:00 AM","6/30/2023 12:00:00 AM","Training and Workforce Development Study Section - A[TWD-A]"," ","2281646","CAVAZOS, JOSE E","Not Applicable","21","NEUROLOGY","800772162","C3KXNLTAAY98","800772162","C3KXNLTAAY98","US","29.513082","-98.577731","578418","UNIVERSITY OF TEXAS HLTH SCIENCE CENTER","SAN ANTONIO","TX","SCHOOLS OF MEDICINE","782293901","UNITED STATES","N","7/1/2021 12:00:00 AM","6/30/2022 12:00:00 AM","859","Training, Institutional","2021"," "," ","NIMH","42916","2427"," ","45343",
"No NIH Category available","Medical;Scientist;Training Programs","Medical Scientist Training Program","Project Narrative
The CWRU Medical Scientist Training Program integrates research and clinical training
of physician scientists in basic and translational biomedical sciences. Training in these
areas can then be applied to a wide range of basic, translational and clinical research.
Our mission is to train MD-PhD students for productive careers in biomedical research
to fill the national need for future physician-scientists.","NIGMS","10438947","6/29/2021 12:00:00 AM","PA-16-152","3T32GM007250-46S1","3","T32","GM","007250","46","S","KEANE-MYERS, ANDREA","7/1/1975 12:00:00 AM","6/30/2024 12:00:00 AM","Training and Workforce Development Study Section - A[TWD-A]"," ","7126459","ABBOTT, DEREK W","Not Applicable","11","PATHOLOGY","077758407","HJMKEF7EJW69","077758407","HJMKEF7EJW69","US","41.505076","-81.609998","218601","CASE WESTERN RESERVE UNIVERSITY","CLEVELAND","OH","SCHOOLS OF MEDICINE","441061712","UNITED STATES","N","7/1/2021 12:00:00 AM","6/30/2022 12:00:00 AM","859","Training, Institutional","2021"," "," ","NEI","51336","2427"," ","53763",
"No NIH Category available","Medical;Scientist;Training Programs","Medical Scientist Training Program","MSTP Project Narrative
Progress towards solving major health problems will require a steady source of well-trained new
investigators who have the clinical background to appreciate major medical issues and the
research skills to tackle them. Over the years, MD-PhD programs have proven to be a highly
effective way to train such investigators. We seek funding to continue our highly successful
MD-PhD Program at The Johns Hopkins University School of Medicine.","NIGMS","10444400","8/12/2021 12:00:00 AM","PAR-19-036","3T32GM136577-02S1","3","T32","GM","136577","02","S","GINDHART, JOSEPH G","7/1/2020 12:00:00 AM","6/30/2025 12:00:00 AM","Training and Workforce Development Study Section - A[TWD-A]"," ","7289265","COX, ANDREA L","Not Applicable","07","INTERNAL MEDICINE/MEDICINE","001910777","FTMTDMBR29C7","001910777","FTMTDMBR29C7","US","39.329164","-76.617855","4134401","JOHNS HOPKINS UNIVERSITY","BALTIMORE","MD","SCHOOLS OF MEDICINE","212182680","UNITED STATES","N","7/1/2021 12:00:00 AM","6/30/2022 12:00:00 AM","859","Training, Institutional","2021"," "," ","NIAID","51336","2427"," ","53763",
"No NIH Category available","Medical;Scientist;Training Programs","Medical Scientist Training Program","MSTP Project Narrative
Progress towards solving major health problems will require a steady source of well-trained new
investigators who have the clinical background to appreciate major medical issues and the
research skills to tackle them. Over the years, MD-PhD programs have proven to be a highly
effective way to train such investigators. We seek funding to continue our highly successful
MD-PhD Program at The Johns Hopkins University School of Medicine.","NIGMS","10204051","5/25/2021 12:00:00 AM","PAR-19-036","5T32GM136577-02","5","T32","GM","136577","02"," ","GINDHART, JOSEPH G","7/1/2020 12:00:00 AM","6/30/2025 12:00:00 AM","Training and Workforce Development Study Section - A[TWD-A]"," ","7289265","COX, ANDREA L","Not Applicable","07","INTERNAL MEDICINE/MEDICINE","001910777","FTMTDMBR29C7","001910777","FTMTDMBR29C7","US","39.329164","-76.617855","4134401","JOHNS HOPKINS UNIVERSITY","BALTIMORE","MD","SCHOOLS OF MEDICINE","212182680","UNITED STATES","N","7/1/2021 12:00:00 AM","6/30/2022 12:00:00 AM","859","Training, Institutional","2021"," "," ","NIGMS","1642752","77660"," ","1720412",
"No NIH Category available","Medical;Scientist;Training Programs","Medical Scientist Training Program","Project Narrative
We are in the midst of a dynamic era of biomedical research. The quickening pace of scientific
discovery demands a new generation of physician-scientists who are able to understand the
languages that are spoken both in the research setting and at the bedside. Using this knowledge,
these individuals will be ideally positioned to make significant contributions to and improvements
in human health, and thereby become the next generation of leaders in biomedical science.","NIGMS","10207653","7/2/2021 12:00:00 AM","PA-18-403","5T32GM008719-23","5","T32","GM","008719","23"," ","GINDHART, JOSEPH G","7/1/1999 12:00:00 AM","6/30/2024 12:00:00 AM","Training and Workforce Development Study Section - A[TWD-A]"," ","6721519","DESHMUKH, MOHANISH P","DARVILLE, TONI ","04","INTERNAL MEDICINE/MEDICINE","608195277","D3LHU66KBLD5","608195277","D3LHU66KBLD5","US","35.926939","-79.038605","578206","UNIV OF NORTH CAROLINA CHAPEL HILL","CHAPEL HILL","NC","SCHOOLS OF MEDICINE","275995023","UNITED STATES","N","7/1/2021 12:00:00 AM","6/30/2022 12:00:00 AM","859","Training, Institutional","2021"," "," ","NIGMS","821376","38830"," ","860206",
"No NIH Category available","Medical;Scientist;Training Programs","Medical Scientist Training Program","The Medical Scientist Training Program (MSTP) at Baylor College of Medicine is designed for
highly motivated students who want to by combine their passion for translational research and
patient as a physician scientist to meet the Nation's needs for biomedical workforce. The BCM-
MSTP is committed to training a diverse group of students from all backgrounds through a
rigorous integrative dual MD/PhD degree program that empowers them to be successful in their
careers as physician-scientists.","NIGMS","10198957","5/24/2021 12:00:00 AM","PAR-19-036","5T32GM136611-02","5","T32","GM","136611","02"," ","GINDHART, JOSEPH G","7/1/2020 12:00:00 AM","6/30/2025 12:00:00 AM","Training and Workforce Development Study Section - A[TWD-A]"," ","1868704","PLON, SHARON E.","Not Applicable","09","PEDIATRICS","051113330","FXKMA43NTV21","051113330","FXKMA43NTV21","US","29.711148","-95.39695","481201","BAYLOR COLLEGE OF MEDICINE","HOUSTON","TX","SCHOOLS OF MEDICINE","770303411","UNITED STATES","N","7/1/2021 12:00:00 AM","6/30/2022 12:00:00 AM","859","Training, Institutional","2021"," "," ","NIGMS","1205490","60672"," ","1266162",
"No NIH Category available","Medical;Scientist;Training Programs","Medical Scientist Training Program","PROJECT NARRATIVE
The University of Minnesota Medical Scientist Training Program (MD/PhD) provides a rigorous, supportive
program of study for an outstanding and diverse group of students who will become leading physician
scientists. By combining medical training with research training that will lead to new scientific discoveries, this
integrated training program will help meet the nation’s critical need for investigators who can successfully
translate scientific discoveries into new preventive strategies and therapies that will improve the lives of
patients.","NIGMS","10393242","6/15/2021 12:00:00 AM","PA-20-272","3T32GM008244-34S1","3","T32","GM","008244","34","S","KEANE-MYERS, ANDREA","7/1/1988 12:00:00 AM","6/30/2025 12:00:00 AM","Training and Workforce Development Study Section - B[TWD-B]"," ","1864119","SHIMIZU, YOJI ","Not Applicable","05","PATHOLOGY","555917996","KABJZBBJ4B54","555917996","KABJZBBJ4B54","US","44.974119","-93.227014","1450402","UNIVERSITY OF MINNESOTA","MINNEAPOLIS","MN","SCHOOLS OF MEDICINE","554552070","UNITED STATES","N","7/1/2021 12:00:00 AM","6/30/2022 12:00:00 AM","859","Training, Institutional","2021"," "," ","NIGMS","69333","5547"," ","74880",
"No NIH Category available","Medical;Scientist;Training Programs","Medical Scientist Training Program","8. PROJECT NARRATIVE
There is a need to train physician-scientists with an excellent foundation in both biomedical research and
clinical medicine in order to gain a more detailed understanding of disease. The Duke Medical Scientist
Training Program seeks to train MD-PhD candidates in both medicine and science through a unique curriculum
that provides students with comprehensive clinical training prior to their PhD training. Through this program,
Duke MSTP students will be poised to translate scientific discoveries into therapies for human disease.","NIGMS","10488870","9/16/2021 12:00:00 AM","PA-16-152","3T32GM007171-47S1","3","T32","GM","007171","47","S","GINDHART, JOSEPH G","7/1/1975 12:00:00 AM","6/30/2022 12:00:00 AM","Training and Workforce Development Study Section - A[TWD-A]"," ","1902570","KONTOS, CHRISTOPHER D","Not Applicable","04","INTERNAL MEDICINE/MEDICINE","044387793","TP7EK8DZV6N5","044387793","TP7EK8DZV6N5","US","36.006824","-78.924579","2221101","DUKE UNIVERSITY","DURHAM","NC","SCHOOLS OF MEDICINE","277054673","UNITED STATES","N","7/1/2021 12:00:00 AM","6/30/2022 12:00:00 AM","859","Training, Institutional","2021"," "," ","NIAID","51336","2427"," ","53763",
"No NIH Category available","Medical;Scientist;Training Programs","Medical Scientist Training Program","Project Narrative
The need for investigators who are well trained in both basic science and clinical research has been and
continues to be an unmet need. NIGMS Medical Scientist Training Programs (MSTP) were developed to meet
the need for more physician scientists and offer unique training opportunities. The UCCOM MSTP has been
successful with 79% its graduates in careers consistent with their training as physician scientists.","NIGMS","10190955","6/7/2021 12:00:00 AM","PA-16-152","5T32GM063483-19","5","T32","GM","063483","19"," ","GINDHART, JOSEPH G","7/1/2002 12:00:00 AM","6/30/2023 12:00:00 AM","Training and Workforce Development Study Section - A[TWD-A]"," ","1932987","KHURANA HERSHEY, GURJIT K.","Not Applicable","01","INTERNAL MEDICINE/MEDICINE","041064767","DZ4YCZ3QSPR5","041064767","DZ4YCZ3QSPR5","US","39.142998","-84.503581","1523902","UNIVERSITY OF CINCINNATI","CINCINNATI","OH","SCHOOLS OF MEDICINE","452210001","UNITED STATES","N","7/1/2021 12:00:00 AM","6/30/2022 12:00:00 AM","859","Training, Institutional","2021"," "," ","NIGMS","377072","19415"," ","396487",
